Central,TR,RINGNO,species,age,sex,fat,pec,wing,mass,hr,min,day,month,year,location,INITIAL,BP,moult,BODYMOULT,HEADMOULT,CRINGED,NOTES
SAF,N,AM27508,WHINC,3,M,3,2,83,16,08,15,19,10,2004,ACESB,MJB,0,O,,,,
SAF,N,AM27509,WHINC,3,F,1,2,75,13.4,09,00,19,10,2004,ACESB,MJB,0,O,,,,
SAF,N,AM27511,WHINC,3,F,0,1,79,13.9,09,00,19,10,2004,ACESB,MJB,0,O,,,,
SAF,N,AM27513,WHINC,3,M,1,1,81,14.4,09,30,19,10,2004,ACESB,MJB,0,O,,,,
SAF,N,AM27514,WHINC,3,M,1,2,79,14.9,09,30,19,10,2004,ACESB,MJB,0,O,,,,
SAF,N,AM27519,WHINC,3,F,0,2,82,14.1,08,45,20,10,2004,ACESB,MJB,0,O,,,,
SAF,N,AM27524,WHINC,3,F,0,1,78,14.6,11,30,20,10,2004,ACESB,MJB,0,O,,,,
SAF,N,AM27530,WHINC,3,M,0,2,79,14.7,07,30,21,10,2004,ACESB,MJB,0,O,,,,
SAF,N,AM27545,WHINC,3,M,0,1,79,14.9,07,30,22,10,2004,ACESB,MJB,0,O,,,,
SAF,N,AM27547,WHINC,3,F,0,2,80,14.1,08,00,22,10,2004,ACESB,MJB,0,O,,,,
SAF,N,AM27569,WHINC,3,F,1,1,80,14.4,08,00,26,10,2004,ACESB,MFH,0,O,,,,
SAF,N,AM27574,WHINC,3,M,0,0,80,12.8,07,15,27,10,2004,ACESB,MSR,0,,,,,
SAF,N,AM27579,WHINC,3,M,1,1,76,14.6,07,30,29,10,2004,ACESB,MFH,0,O,,,,
SAF,N,AM27586,WHINC,4,M,0,1,79,15.1,06,30,31,10,2004,ACESB,MFH,0,O,,,,
SAF,N,AM27587,WHINC,3,F,0,1,77,14.5,06,45,31,10,2004,ACESB,MFH,0,O,,,,
SAF,N,AM27594,WHINC,3,,0,2,77,15.6,06,30,01,11,2004,ACESB,MFH,0,O,,,,
SAF,N,AM27596,WHINC,3,F,0,1,76,13.9,06,45,01,11,2004,ACESB,MFH,0,O,,,,
SAF,N,AM27642,WHINC,6,F,0,2,81,15,07,15,22,02,2005,ACESB,OHN,0,,,,,
SAF,N,AM27713,WHINC,3,F,0,1,77,14.6,08,30,22,11,2004,ASGOR,MJB,0,O,,,,
SAF,N,AM28242,WHINC,4,,0,1,81,15.3,08,00,03,11,2005,OBBEC,h,0,O,,,,
SAF,N,AM28287,WHINC,3,,4,1,79,15.4,11,45,12,11,2005,OBBEC,AHH,0,O,,,,
SAF,N,AM28298,WHINC,4,F,2,1,76,13.7,11,00,15,11,2005,OBBEC,YBP,0,O,,,,
SAF,N,AM47312,WHINC,4,,0,1,78,14.1,11,00,18,11,2005,OBBEC,YBP,0,O,,,,
SAF,N,AM47348,WHINC,4,,5,1,79,15.4,08,30,22,11,2005,OBBEC,AHH,0,O,,,,
SAF,N,AM47450,WHINC,3,F,1,2,79,15,09,00,03,12,2005,OBBEC,YBP,0,O,,,,
SAF,N,AM47458,WHINC,3,M,4,1,79,16,07,00,05,12,2005,OBBEC,AHH,0,O,,,,
SAF,N,AM47469,WHINC,3,,4,2,77,14.9,07,15,06,12,2005,OBBEC,YBP,0,O,,,,
SAF,N,AM47475,WHINC,3,F,2,1,77,14.4,10,30,06,12,2005,OBBEC,YBP,0,O,,,,
SAF,N,AM47479,WHINC,3,M,0,2,77,14.9,07,30,07,12,2005,OBBEC,YBP,0,O,,,,
SAF,N,AM47487,WHINC,3,M,3,2,77,14.6,08,00,08,12,2005,OBBEC,YBP,0,O,,,,
SAF,N,AM47641,WHINC,5,F,0,2,76,15.5,09,30,23,03,2006,ACESB,DSN,0,O,,,,
SAF,N,AM47661,WHINC,5,F,0,1,81,15.8,09,30,25,03,2006,ACESB,DSN,0,O,,,,
SAF,N,AM47865,WHINC,5,M,2,1,81,16.7,08,30,25,01,2006,JGWAF,YBP,0,O,,,1,
SAF,N,AM47866,WHINC,5,F,1,1,78,16.9,08,30,26,01,2006,JGWAF,YBP,0,O,,,1,
