ringer,tr,ring,,bird,birdid,recap,day,month,year,season,location,resight,logger,type,harness,span,age,sex,fat,pec,wing,tail,mass1,mass2,hr,min,moult,bodymoult,headmoult,billlength,narestotip,billheight,billwidth,medcovs,greatercovs,maxtar,mintar,mouth,featherwear,capmethod
EMB,N,AP88401,,YYmO,1,1,28,9,2012,2,2,Y,none,,,,1,2,0,1,82,,15.4,,7,45,O,0,0,10.7,7.9,3.5,3.7,,,25.8,22.9,,,N
EMB,N,AP88402,,YBmB,2,1,28,9,2012,2,2,Y,none,,,,2,1,0,1,79,,15,,8,15,O,0,0,10.9,7.5,3.7,3.9,,,24.8,22.3,,,N
EMB,N,AP88403,,WOmO,3,1,28,9,2012,2,2,Y,none,,,,2,2,0,1,75,,13.3,,8,0,O,0,0,10.2,7.8,3.6,3.5,,,24,21.7,,,T
EMB,N,AP88404,,BOmY,4,1,28,9,2012,2,2,N,none,,,,,2,0,1,79,,13.7,,8,45,O,0,0,10.5,7.8,3.6,3.9,,,23.3,21.1,,,N
EMB,N,AP88405,,LWmW,5,1,29,9,2012,2,2,Y,none,,,,2,2,0,1,79,,15.5,,7,30,O,0,0,,,,,,,24.9,22.3,,,T
EMB,N,AP88406,,BBmL,6,1,29,9,2012,2,2,Y,none,,,,1,1,0,1,77,,13.8,,9,30,O,0,0,10.5,7.1,3.4,3.6,,,23.7,21.5,,,T
EMB,N,AP88407,,OOmPxA,7,1,30,9,2012,2,2,Y,none,,,,1,1,0,1,78,,14.7,,8,30,O,0,0,10.8,7.6,3.7,3.9,,,24,21.7,,,T
EMB,N,AP88408,,YOmW,8,1,30,9,2012,2,2,Y,none,,,,2,2,0,1,73,,14.6,,10,0,O,0,0,,,,,,,23.9,21.9,,,T
EMB,N,AP88410,,YPmY,9,1,11,10,2012,2,2,Y,none,,,,1,1,0,2,80,,15.5,,8,30,O,0,0,11.2,8.3,3.7,3.6,,,25.4,22.9,,0,T
EMB,N,AP88411,,WBmG,10,1,11,10,2012,2,2,Y,none,,,,1,1,0,2,80,,15.1,,9,45,O,0,0,10.1,7.6,3.2,3.2,,,24.6,21.4,,L,T
EMB,N,AP88412,,GOmW,11,1,11,10,2012,2,2,Y,none,,,,2,1,0,3,77,,14.9,,10,30,O,0,0,11.2,8.5,3.5,3.8,,,24.4,21.6,,L,T
EMB,N,AP88413,,YGmP,12,1,12,10,2012,2,4,Y,none,,,,2,,0,1,78,,15,,7,15,O,0,0,10.9,7.9,3.4,3.5,,,24.9,22.2,,H,T
EMB,N,AP88414,,WPmW,13,1,12,10,2012,2,4,Y,none,,,,1,2,0,2,77,,13.9,,7,45,O,1,0,10.3,9.4,3.8,3.6,,,23.2,20.8,,L,T
EMB,N,AP88415,,YLmW,14,1,12,10,2012,2,4,Y,none,,,,1,1,0,1,84,,15.1,,8,0,O,0,0,10.7,7.8,3.4,4,,,25.9,23.2,,L,T
EMB,N,AP88416,,OWmBxB,15,1,12,10,2012,2,4,Y,none,,,,2,2,0,2,77,,14.7,,8,45,O,0,0,11.1,7.4,3.5,3.4,,,24.4,22.1,,H,T
EMB,N,AP88417,,LOmW,16,1,12,10,2012,2,4,Y,none,,,,2,2,0,2,79,,15.7,,9,15,O,0,0,12,8.8,3.5,4.2,,,24.7,22.1,,H,T
EMB,N,AP88418,,PYmO,17,1,12,10,2012,2,4,Y,none,,,,1,1,0,2,79,,14.7,,9,30,O,1,0,10.2,7.1,3.4,3.7,,,24.4,22,,0,T
